Calculating shorest paths...
Calculating shorest paths... done.
total=89K; failed=14774; failrate=0.166000; stretch=1.029019;
N=7; remotes=0.0000; neighs= 4.5714;
total=90K; failed=14939; failrate=0.165989; stretch=1.028990;
N=7; remotes=0.0000; neighs= 4.5714;
total=91K; failed=15109; failrate=0.166033; stretch=1.028884;
N=7; remotes=0.0000; neighs= 4.5714;
total=92K; failed=15285; failrate=0.166141; stretch=1.028899;
N=7; remotes=0.0000; neighs= 4.5714;
total=93K; failed=15442; failrate=0.166043; stretch=1.028907;
N=7; remotes=0.0000; neighs= 4.5714;
total=94K; failed=15611; failrate=0.166074; stretch=1.028882;
N=7; remotes=0.0000; neighs= 4.5714;
total=95K; failed=15785; failrate=0.166158; stretch=1.028719;
N=7; remotes=0.0000; neighs= 4.5714;
total=96K; failed=15977; failrate=0.166427; stretch=1.028667;
N=7; remotes=0.0000; neighs= 4.5714;
total=97K; failed=16155; failrate=0.166546; stretch=1.028623;
N=7; remotes=0.0000; neighs= 4.5714;
total=98K; failed=16310; failrate=0.166429; stretch=1.028620;
N=7; remotes=0.0000; neighs= 4.5714;
total=99K; failed=16477; failrate=0.166434; stretch=1.028634;
N=7; remotes=0.0000; neighs= 4.5714;
total=100K; failed=16635; failrate=0.166350; stretch=1.028621;
N=7; remotes=0.0000; neighs= 4.5714;
total=101K; failed=16814; failrate=0.166475; stretch=1.028615;
N=7; remotes=0.0000; neighs= 4.5714;
total=102K; failed=16986; failrate=0.166529; stretch=1.028607;
N=7; remotes=0.0000; neighs= 4.5714;
total=103K; failed=17154; failrate=0.166544; stretch=1.028633;
N=7; remotes=0.0000; neighs= 4.5714;
total=104K; failed=17322; failrate=0.166558; stretch=1.028623;
N=7; remotes=0.0000; neighs= 4.5714;
total=105K; failed=17477; failrate=0.166448; stretch=1.028701;
N=7; remotes=0.0000; neighs= 4.5714;
total=106K; failed=17620; failrate=0.166226; stretch=1.028660;
N=7; remotes=0.0000; neighs= 4.5714;
total=107K; failed=17769; failrate=0.166065; stretch=1.028678;
N=7; remotes=0.0000; neighs= 4.5714;
total=108K; failed=17933; failrate=0.166046; stretch=1.028634;
N=7; remotes=0.0000; neighs= 4.5714;
total=109K; failed=18090; failrate=0.165963; stretch=1.028622;
N=7; remotes=0.0000; neighs= 4.5714;
total=110K; failed=18257; failrate=0.165973; stretch=1.028667;
N=7; remotes=0.0000; neighs= 4.5714;
total=111K; failed=18423; failrate=0.165973; stretch=1.028679;
N=7; remotes=0.0000; neighs= 4.5714;
total=112K; failed=18587; failrate=0.165955; stretch=1.028679;
N=7; remotes=0.0000; neighs= 4.5714;
total=113K; failed=18746; failrate=0.165894; stretch=1.028646;
N=7; remotes=0.0000; neighs= 4.5714;
total=114K; failed=18904; failrate=0.165825; stretch=1.028634;
N=7; remotes=0.0000; neighs= 4.5714;
total=115K; failed=19076; failrate=0.165878; stretch=1.028627;
N=7; remotes=0.0000; neighs= 4.5714;
total=116K; failed=19242; failrate=0.165879; stretch=1.028659;
N=7; remotes=0.0000; neighs= 4.5714;
total=117K; failed=19423; failrate=0.166009; stretch=1.028675;
N=7; remotes=0.0000; neighs= 4.5714;
total=118K; failed=19601; failrate=0.166110; stretch=1.028649;
N=7; remotes=0.0000; neighs= 4.5714;
total=119K; failed=19751; failrate=0.165975; stretch=1.028655;
N=7; remotes=0.0000; neighs= 4.5714;
total=120K; failed=19918; failrate=0.165983; stretch=1.028597;
N=7; remotes=0.0000; neighs= 4.5714;
total=121K; failed=20067; failrate=0.165843; stretch=1.028573;
N=7; remotes=0.0000; neighs= 4.5714;
total=122K; failed=20246; failrate=0.165951; stretch=1.028589;
N=7; remotes=0.0000; neighs= 4.5714;
total=123K; failed=20408; failrate=0.165919; stretch=1.028579;
N=7; remotes=0.0000; neighs= 4.5714;
total=124K; failed=20560; failrate=0.165806; stretch=1.028635;
N=7; remotes=0.0000; neighs= 4.5714;
total=125K; failed=20700; failrate=0.165600; stretch=1.028658;
N=7; remotes=0.0000; neighs= 4.5714;
total=126K; failed=20861; failrate=0.165563; stretch=1.028667;
N=7; remotes=0.0000; neighs= 4.5714;
total=127K; failed=21018; failrate=0.165496; stretch=1.028656;
N=7; remotes=0.0000; neighs= 4.5714;
total=128K; failed=21167; failrate=0.165367; stretch=1.028671;
N=7; remotes=0.0000; neighs= 4.5714;
total=129K; failed=21342; failrate=0.165442; stretch=1.028665;
N=7; remotes=0.0000; neighs= 4.5714;
total=130K; failed=21495; failrate=0.165346; stretch=1.028699;
N=7; remotes=0.0000; neighs= 4.5714;
total=131K; failed=21681; failrate=0.165504; stretch=1.028732;
N=7; remotes=0.0000; neighs= 4.5714;
total=132K; failed=21841; failrate=0.165462; stretch=1.028713;
N=7; remotes=0.0000; neighs= 4.5714;
total=133K; failed=22004; failrate=0.165444; stretch=1.028776;
N=7; remotes=0.0000; neighs= 4.5714;
total=134K; failed=22180; failrate=0.165522; stretch=1.028814;
N=7; remotes=0.0000; neighs= 4.5714;
total=135K; failed=22366; failrate=0.165674; stretch=1.028890;
N=7; remotes=0.0000; neighs= 4.5714;
total=136K; failed=22515; failrate=0.165551; stretch=1.028938;
N=7; remotes=0.0000; neighs= 4.5714;
total=137K; failed=22665; failrate=0.165438; stretch=1.028915;
N=7; remotes=0.0000; neighs= 4.5714;
total=138K; failed=22841; failrate=0.165514; stretch=1.028899;
N=7; remotes=0.0000; neighs= 4.5714;
total=139K; failed=23013; failrate=0.165561; stretch=1.028857;
N=7; remotes=0.0000; neighs= 4.5714;
total=140K; failed=23156; failrate=0.165400; stretch=1.028833;
N=7; remotes=0.0000; neighs= 4.5714;
total=141K; failed=23313; failrate=0.165340; stretch=1.028856;
N=7; remotes=0.0000; neighs= 4.5714;
total=142K; failed=23478; failrate=0.165338; stretch=1.028822;
N=7; remotes=0.0000; neighs= 4.5714;
total=143K; failed=23650; failrate=0.165385; stretch=1.028907;
N=7; remotes=0.0000; neighs= 4.5714;
total=144K; failed=23807; failrate=0.165326; stretch=1.028895;
N=7; remotes=0.0000; neighs= 4.5714;
total=145K; failed=23968; failrate=0.165297; stretch=1.028918;
N=7; remotes=0.0000; neighs= 4.5714;
total=146K; failed=24144; failrate=0.165370; stretch=1.028911;
N=7; remotes=0.0000; neighs= 4.5714;
total=147K; failed=24315; failrate=0.165408; stretch=1.028911;
N=7; remotes=0.0000; neighs= 4.5714;
total=148K; failed=24482; failrate=0.165419; stretch=1.028903;
N=7; remotes=0.0000; neighs= 4.5714;
total=149K; failed=24656; failrate=0.165477; stretch=1.028880;
N=7; remotes=0.0000; neighs= 4.5714;
total=150K; failed=24811; failrate=0.165407; stretch=1.028876;
N=7; remotes=0.0000; neighs= 4.5714;
total=151K; failed=24970; failrate=0.165364; stretch=1.028874;
N=7; remotes=0.0000; neighs= 4.5714;
total=152K; failed=25143; failrate=0.165414; stretch=1.028891;
N=7; remotes=0.0000; neighs= 4.5714;
total=153K; failed=25304; failrate=0.165386; stretch=1.028905;
N=7; remotes=0.0000; neighs= 4.5714;
total=154K; failed=25474; failrate=0.165416; stretch=1.028928;
N=7; remotes=0.0000; neighs= 4.5714;
total=155K; failed=25654; failrate=0.165510; stretch=1.028891;
N=7; remotes=0.0000; neighs= 4.5714;
total=156K; failed=25827; failrate=0.165558; stretch=1.028862;
N=7; remotes=0.0000; neighs= 4.5714;
total=157K; failed=25998; failrate=0.165592; stretch=1.028847;
N=7; remotes=0.0000; neighs= 4.5714;
